,id,tipo_ativo,ativo,data,quantidade,price,volume
122,827,DEB,ELZM13,2023-01-31,100000.0,1000.0,100000000.0
123,828,DEB,EMGP12,2023-01-31,250000.0,1000.0,250000000.0
124,829,DEB,EVOT11,2023-01-31,70000.0,1000.0,70000000.0
125,830,DEB,FLAP11,2023-01-31,195000.0,1000.0,195000000.0
126,831,DEB,FLAP21,2023-01-31,195000.0,1000.0,195000000.0
127,832,DEB,FOBR12,2023-01-31,20000000.0,1.0,20000000.0
128,833,DEB,FRAS13,2023-01-31,210000.0,1000.0,210000000.0
129,834,DEB,FRAS14,2023-01-31,210000.0,1000.0,210000000.0
130,835,DEB,FSFT11,2023-01-31,150000.0,1000.0,150000000.0
131,836,DEB,FVII11,2023-01-31,38809.0,1000.0,38809000.0
132,837,DEB,FVII21,2023-01-31,3191.0,1000.0,3191000.0
133,838,DEB,GAMZ13,2023-01-31,190000.0,0.0,0.0
134,839,DEB,GBSP11,2023-01-31,600000.0,1000.0,600000000.0
135,840,DEB,GCII12,2023-01-31,30.0,100000.0,3000000.0
136,841,DEB,GDSN11,2023-01-31,325000.0,1000.0,325000000.0
137,842,DEB,GFMP11,2023-01-31,76500.0,1000.0,76500000.0
138,843,DEB,GFTP11,2023-01-31,80100.0,1000.0,80100000.0
139,844,DEB,GJAI12,2023-01-31,56696.0,1000.0,56696000.0
140,845,DEB,GRMX11,2023-01-31,60000.0,1000.0,60000000.0
141,846,DEB,GRNS11,2023-01-31,152000.0,1000.0,152000000.0
142,847,DEB,GRRB14,2023-01-31,30390.0,10000.0,303900000.0
143,848,DEB,GRRB15,2023-01-31,350000.0,1000.0,350000000.0
144,849,DEB,GRRB24,2023-01-31,27610.0,10000.0,276100000.0
145,850,DEB,GSTS13,2023-01-31,200000.0,1000.0,200000000.0
146,851,DEB,GSTS14,2023-01-31,409317.0,1000.0,409317000.0
147,852,DEB,GSTS24,2023-01-31,190683.0,1000.0,190683000.0
148,853,DEB,GTSA11,2023-01-31,325000.0,1000.0,325000000.0
149,854,DEB,GUGE11,2023-01-31,58000.0,1000.0,58000000.0
150,855,DEB,HBSA11,2023-01-31,280000.0,1000.0,280000000.0
151,856,DEB,HBSA12,2023-01-31,395000.0,1000.0,395000000.0
152,857,DEB,HBSA21,2023-01-31,100000.0,1000.0,100000000.0
153,858,DEB,HBSA22,2023-01-31,105000.0,1000.0,105000000.0
154,859,DEB,HIAG11,2023-01-31,70000.0,1000.0,70000000.0
155,860,DEB,HMRD11,2023-01-31,10000.0,10000.0,100000000.0
156,861,DEB,IBPB11,2023-01-31,116000.0,1000.0,116000000.0
157,862,DEB,IGTAA0,2023-01-31,100000.0,1000.0,100000000.0
158,863,DEB,IGTAA1,2023-01-31,263871.0,1000.0,263871000.0
159,864,DEB,IGTAB0,2023-01-31,400000.0,1000.0,400000000.0
160,865,DEB,IGTAB1,2023-01-31,236129.0,1000.0,236129000.0
161,866,DEB,IGTA19,2023-01-31,300000.0,1000.0,300000000.0
162,867,DEB,IPIA11,2023-01-31,200000.0,1000.0,200000000.0
163,868,DEB,IPIA12,2023-01-31,150000.0,1000.0,150000000.0
164,869,DEB,IPIA13,2023-01-31,200000.0,1000.0,200000000.0
165,870,DEB,IPTO12,2023-01-31,4100000.0,100.0,410000000.0
166,871,DEB,ITPE12,2023-01-31,100000.0,1000.0,100000000.0
167,872,DEB,IVHG11,2023-01-31,60000.0,1000.0,60000000.0
168,873,DEB,JFLV11,2023-01-31,60000.0,1000.0,60000000.0
169,874,DEB,JMCD13,2023-01-31,181.0,500000.0,90500000.0
170,875,DEB,JURU11,2023-01-31,5000.0,10000.0,50000000.0
171,876,DEB,KATR11,2023-01-31,200000.0,1000.0,200000000.0
172,877,DEB,KLAS12,2023-01-31,150000.0,1000.0,150000000.0
173,878,DEB,LBDA12,2023-01-31,218500.0,1000.0,218500000.0
174,879,DEB,LETS14,2023-01-31,80000.0,1000.0,80000000.0
